,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,Saint George,37.1,-113.58,100.99,15,1,3.36,US,1594492790
303,Soyo,-6.13,12.37,72.28,82,0,10.0,AO,1594492904
304,Tiznit Province,29.58,-9.5,86.63,30,0,5.95,MA,1594492904
305,Ahipara,-35.17,173.17,49.98,83,44,2.8,NZ,1594492905
306,Bella Union,-30.28,-57.6,58.59,70,67,8.48,UY,1594492905
307,Ndola,-12.96,28.64,68.4,43,41,6.64,ZM,1594492905
308,Zasheyek,67.41,32.55,52.74,84,4,11.18,RU,1594492906
309,Kuantan,3.81,103.33,77.0,94,20,4.56,MY,1594492805
310,Uglegorsk,49.08,142.03,55.35,93,100,2.91,RU,1594492907
311,Lata,40.16,-8.33,87.01,35,100,7.0,PT,1594492907
312,Rokytne,51.28,27.21,66.67,96,100,8.57,UA,1594492847
313,Breves,-1.68,-50.48,86.59,66,51,4.41,BR,1594492908
314,Lyngseidet,69.58,20.22,57.2,62,38,6.93,NO,1594492909
315,Cabedelo,-6.98,-34.83,73.4,100,75,13.87,BR,1594492835
316,Pangody,65.85,74.49,55.42,70,0,7.87,RU,1594492909
317,Ocós,14.51,-92.19,87.8,79,75,3.36,GT,1594492910
318,Avila,40.58,-5.0,84.0,28,24,7.0,ES,1594492910
319,Kualakapuas,-3.01,114.39,73.38,98,100,1.32,ID,1594492911
320,Mortka,59.33,66.02,66.63,59,0,8.08,RU,1594492911
321,Champerico,14.3,-91.92,86.0,70,75,4.7,GT,1594492912
322,Nogliki,51.83,143.17,50.61,94,98,3.11,RU,1594492912
323,Samut Prakan,13.6,100.6,86.0,83,20,8.05,TH,1594492756
324,County Wicklow,53.0,-6.42,64.4,55,40,2.24,IE,1594492914
325,Kiruna,67.86,20.23,53.6,76,100,2.24,SE,1594492914
326,Tegul'det,57.31,88.17,54.36,92,0,4.52,RU,1594492914
327,Denpasar,-8.65,115.22,78.8,100,40,13.87,ID,1594492915
328,Arrondissement d'Ajaccio,42.0,8.92,77.0,78,0,5.82,FR,1594492915
329,Buckeye,33.37,-112.58,102.99,21,1,9.17,US,1594492916
330,Zhalantun,48.0,122.72,63.09,80,94,1.61,CN,1594492731
331,Souillac,-20.52,57.52,69.8,68,40,19.46,MU,1594492917
332,Chemax,20.65,-87.93,99.79,30,7,3.47,MX,1594492917
333,Kirakira,-10.45,161.92,77.85,85,18,10.25,SB,1594492917
334,Qandala,11.47,49.87,92.3,49,86,4.7,SO,1594492918
335,Conway,35.09,-92.44,95.0,59,40,9.17,US,1594492918
336,Bonthe,7.53,-12.51,75.76,89,100,9.06,SL,1594492919
337,El Real de Santa Maria,8.11,-77.73,76.05,92,100,2.19,PA,1594492919
338,Laas,46.62,10.7,57.2,71,40,6.93,IT,1594492703
339,Lumphat,13.49,106.98,74.61,97,100,1.88,KH,1594492920
340,Finnsnes,69.23,17.98,60.8,51,63,6.93,NO,1594492920
341,Wajima,37.4,136.9,69.91,87,100,21.61,JP,1594492921
342,Shiraz,29.6,52.54,86.0,21,75,2.1,IR,1594492890
343,Bara,10.37,10.73,78.17,75,100,8.34,NG,1594492923
344,Along,28.17,94.77,73.58,90,100,0.69,IN,1594492923
345,Montorio al Vomano,42.58,13.64,82.0,14,1,2.3,IT,1594492924
346,Kedrovyy,56.17,91.82,53.6,100,6,2.73,RU,1594492924
347,Española,35.99,-106.08,91.0,7,1,3.36,US,1594492925
348,Kavaratti,10.57,72.64,80.82,84,100,23.53,IN,1594492925
349,Mangalore,12.87,74.88,78.8,88,40,4.7,IN,1594492741
350,San Quintín,30.48,-115.95,77.38,54,100,9.93,MX,1594492697
351,Codrington,-38.27,141.97,45.52,91,32,4.59,AU,1594492926
352,Östersund,63.18,14.64,51.8,66,100,14.99,SE,1594492814
353,Ponta Delgada,37.73,-25.67,71.6,64,75,6.93,PT,1594492927
354,Merauke,-8.47,140.33,76.46,85,100,12.59,ID,1594492928
355,Wieliczka,49.99,20.06,55.0,94,100,1.01,PL,1594492715
356,Angoche,-16.23,39.91,72.9,75,0,7.54,MZ,1594492929
357,Preobrazheniye,42.9,133.91,57.87,88,7,4.0,RU,1594492930
358,Karagay,58.27,54.94,61.2,76,92,3.8,RU,1594492930
359,Bathsheba,13.22,-59.52,84.2,79,75,18.34,BB,1594492931
360,Qeshm,26.96,56.27,93.2,79,100,4.7,IR,1594492931
361,Inírida,3.87,-67.92,82.24,83,94,3.38,CO,1594492932
362,Kasongo,-4.45,26.67,77.07,57,24,3.53,CD,1594492932
363,Pospelikha,51.95,81.77,58.08,90,0,7.7,RU,1594492933
364,High Prairie,55.43,-116.49,69.53,54,100,4.32,CA,1594492933
365,Pulandian,39.4,121.97,70.0,100,67,6.71,CN,1594492744
366,Gouré,13.98,10.27,91.0,44,88,3.0,NE,1594492934
367,Eureka,40.8,-124.16,63.0,100,2,4.0,US,1594492934
368,Ancud,-41.87,-73.82,48.99,80,75,9.17,CL,1594492935
369,Touros,-5.2,-35.46,73.4,100,90,8.05,BR,1594492925
370,Kholmskaya,44.85,38.39,80.01,43,0,7.18,RU,1594492936
371,Kenai,60.55,-151.26,62.6,72,20,3.36,US,1594492936
